country;location;public_spendingPRY_NTRY2013;public_spendingPRY_TRY2013;public_spendingTRY2013;private_spendingPRY_NTRY2012;private_spendingPRY_NTRY2013;private_spendingPRY_NTRY2014;private_spendingPRY_TRY2012;private_spendingPRY_TRY2013;private_spendingPRY_TRY2014;private_spendingTRY2012;private_spendingTRY2013;private_spendingTRY2014;reading2000;reading2003;reading2006;reading2009;reading2012;reading2015;maths2003;maths2006;maths2009;maths2012;maths2015;science2006;science2009;science2012;science2015;GDP_2000;GDP_2001;GDP_2002;GDP_2003;GDP_2004;GDP_2005;GDP_2006;GDP_2007;GDP_2008;GDP_2009;GDP_2010;GDP_2011;GDP_2012;GDP_2013;GDP_2014;GDP_2015;GDPpc_2000;GDPpc_2001;GDPpc_2002;GDPpc_2003;GDPpc_2004;GDPpc_2005;GDPpc_2006;GDPpc_2007;GDPpc_2008;GDPpc_2009;GDPpc_2010;GDPpc_2011;GDPpc_2012;GDPpc_2013;GDPpc_2014;GDPpc_2015;life_expectancy;st2staffL0;st2staffL0_C1;st2staffL0_C2;st2staffL1;st2staffL2;st2staffL2_3;st2staffL3;st2staffL4;st2staffL5;st2staffL5T8;st2staffL6T8;innovationCCL;innovationCFLMAT;innovationCFLSCI;innovationCGL4;innovationCGL8;innovationCOV;innovationCSL;ineqGINI_1987;ineqGINI_1988;ineqGINI_1989;ineqGINI_1990;ineqGINI_1991;ineqGINI_1992;ineqGINI_1993;ineqGINI_1994;ineqGINI_1995;ineqGINI_1996;ineqGINI_1997;ineqGINI_1998;ineqGINI_1999;ineqGINI_2000;ineqGINI_2001;ineqGINI_2002;ineqGINI_2003;ineqGINI_2004;ineqGINI_2005;ineqGINI_2006;ineqGINI_2007;ineqGINI_2008;ineqGINI_2009;ineqGINI_2010;ineqGINI_2011;ineqGINI_2012;ineqGINI_2013;ineqGINI_2014;ineqP50P10_1987;ineqP50P10_1988;ineqP50P10_1989;ineqP50P10_1990;ineqP50P10_1991;ineqP50P10_1992;ineqP50P10_1993;ineqP50P10_1994;ineqP50P10_1995;ineqP50P10_1996;ineqP50P10_1997;ineqP50P10_1998;ineqP50P10_1999;ineqP50P10_2000;ineqP50P10_2001;ineqP50P10_2002;ineqP50P10_2003;ineqP50P10_2004;ineqP50P10_2005;ineqP50P10_2006;ineqP50P10_2007;ineqP50P10_2008;ineqP50P10_2009;ineqP50P10_2010;ineqP50P10_2011;ineqP50P10_2012;ineqP50P10_2013;ineqP50P10_2014;ineqP90P10_1987;ineqP90P10_1988;ineqP90P10_1989;ineqP90P10_1990;ineqP90P10_1991;ineqP90P10_1992;ineqP90P10_1993;ineqP90P10_1994;ineqP90P10_1995;ineqP90P10_1996;ineqP90P10_1997;ineqP90P10_1998;ineqP90P10_1999;ineqP90P10_2000;ineqP90P10_2001;ineqP90P10_2002;ineqP90P10_2003;ineqP90P10_2004;ineqP90P10_2005;ineqP90P10_2006;ineqP90P10_2007;ineqP90P10_2008;ineqP90P10_2009;ineqP90P10_2010;ineqP90P10_2011;ineqP90P10_2012;ineqP90P10_2013;ineqP90P10_2014;ineqP90P50_1987;ineqP90P50_1988;ineqP90P50_1989;ineqP90P50_1990;ineqP90P50_1991;ineqP90P50_1992;ineqP90P50_1993;ineqP90P50_1994;ineqP90P50_1995;ineqP90P50_1996;ineqP90P50_1997;ineqP90P50_1998;ineqP90P50_1999;ineqP90P50_2000;ineqP90P50_2001;ineqP90P50_2002;ineqP90P50_2003;ineqP90P50_2004;ineqP90P50_2005;ineqP90P50_2006;ineqP90P50_2007;ineqP90P50_2008;ineqP90P50_2009;ineqP90P50_2010;ineqP90P50_2011;ineqP90P50_2012;ineqP90P50_2013;ineqP90P50_2014;ineqS80S20_1987;ineqS80S20_1988;ineqS80S20_1989;ineqS80S20_1990;ineqS80S20_1991;ineqS80S20_1992;ineqS80S20_1993;ineqS80S20_1994;ineqS80S20_1995;ineqS80S20_1996;ineqS80S20_1997;ineqS80S20_1998;ineqS80S20_1999;ineqS80S20_2000;ineqS80S20_2001;ineqS80S20_2002;ineqS80S20_2003;ineqS80S20_2004;ineqS80S20_2005;ineqS80S20_2006;ineqS80S20_2007;ineqS80S20_2008;ineqS80S20_2009;ineqS80S20_2010;ineqS80S20_2011;ineqS80S20_2012;ineqS80S20_2013;ineqS80S20_2014;ineqS90S10_1987;ineqS90S10_1988;ineqS90S10_1989;ineqS90S10_1990;ineqS90S10_1991;ineqS90S10_1992;ineqS90S10_1993;ineqS90S10_1994;ineqS90S10_1995;ineqS90S10_1996;ineqS90S10_1997;ineqS90S10_1998;ineqS90S10_1999;ineqS90S10_2000;ineqS90S10_2001;ineqS90S10_2002;ineqS90S10_2003;ineqS90S10_2004;ineqS90S10_2005;ineqS90S10_2006;ineqS90S10_2007;ineqS90S10_2008;ineqS90S10_2009;ineqS90S10_2010;ineqS90S10_2011;ineqS90S10_2012;ineqS90S10_2013;ineqS90S10_2014;vTPercentFem;vTAge;vTYExp;vTPercentCompleteTrain;vTPercentFemPrincipals;vTAgePrincipals;vTYExpPrincipals;vTBelieveProfValInSocPrincipals;vTSatisfPrincipals;vTFI;vTMentor;vTMentorToOther;vTProfDev;vTNeedICT;vTNeedSN;vTFB1;vTFB2;vTEvalSchool;vTEvalClass;vTtimepW;vTtimePrep;vTTime1;vTTime2;vTTime3;vtTimeTeaching;vTBelieveHelpStudentsValueLearning;vTBelieveHelpStudentsThinkCritic;vTBelieveProfValInSoc;vTSatisf;valueLOWSRY_AVGAGE;valueLOWSRY_WORK
Mexico;MEX;3.5;4.5;1;3.9;3.9;;5.2;5.2;;1.3;1.3;;422;400;410;425;424;423;385;406;419;413;408;410;416;415;416;1006365;1028961;1067156;1131832;1211914;1322406;1464037;1551469;1640915;1624854;1730209;1893303;1984966;2039934;2151545;2152023;9974.277;10075.8;10318.86;10808.17;11438.33;12341.51;13504.75;14131.63;14743.3;14397.97;15143.27;16366.3;16957.7;17229.9;17972.52;17784.58;74.8;26.1;;25.2;27.4;33;27.1;20.6;;18.1;15.5;15.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.457;;.459;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;;2.6;;;;;;;;;;;;;;;;;;;;;;;;;;8.1;;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;2.8;;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;11.5;;10.4;;;;;;;;;;;;;;;;;;;;;;;;;;25.1;;20.9;53.8;42.1;15.8;61.5;40.8;51.9;10.8;58.7;99.8;57.2;17;10.9;95.6;21;47.4;67.8;86.3;95.4;99.5;22.7;6.2;4.3;11.6;12.3;75.4;91;88.8;49.5;97.8;42.1;15.8
Netherlands;NLD;3.6;5.2;1.6;3.8;3.8;;5.4;5.5;;1.7;1.7;;;513;507;508;511;503;538;531;526;523;512;525;522;522;509;502810.8;528116.1;548919.2;546816;577038.6;608165.4;663990.8;711982.2;753929.8;728830;740805.8;768994.1;782578.1;818549.1;827319.1;839999.9;31579.63;32918.79;33995.12;33706.22;35453.34;37271.89;40633.42;43471.86;45859.48;44102.02;44594.62;46066.86;46715.5;48723.16;49061.21;49610.2;81.8;16.3;;16.3;16.6;16.2;17.5;19.2;21.4;15.9;15.9;15.9;30.28098;31.09286;36.42784;30.61644;30.00223;30.00354;29.5874;;;;;;;;;;;;;;;;;;;;;;;;.283;.283;.281;.28;.283;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.8;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;3.3;3.3;3.3;3.3;3.4;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;1.8;1.8;;;;;;;;;;;;;;;;;;;;;;;;4.2;4.2;4.2;4.2;4.3;;;;;;;;;;;;;;;;;;;;;;;;6.7;6.7;6.8;6.7;6.9;54.6;43.2;15.7;91.5;30.8;52.2;10;47;95.1;45.6;16.6;19.4;93.2;14.9;10.7;36.6;43.8;97.6;98.8;16.9;5.1;4.2;9.5;16;73.8;70.2;77.8;40.4;90.8;43.2;15.7
Norway;NOR;4.8;7.3;2.4;4.6;4.7;;6.2;6.3;;1.6;1.6;;505;500;484;503;504;513;495;490;498;489;502;487;500;495;498;165842.3;170951.9;172267.6;175887.5;195231.6;220865.9;252193.3;262992.7;294084.8;267801.1;283556.4;307393.4;328115.5;340435.4;337585.5;322230.1;36927.69;37871.49;37961.13;38529.58;42515.6;47775.44;54107.13;55848.95;61678.86;55456.84;57998.85;62062.06;65374.68;67014.84;65716.48;62074.76;82.2;11.1;;;10.3;9.7;10.1;10.3;;;10.2;10.2;24.65474;28.2453;28.4875;32.80701;24.64727;23.55727;21.91107;;;;;;;;;;;;;;;;;;.285;;;;.25;.245;.249;.25;.253;.252;;;;;;;;;;;;;;;;;;;1.8;;;;1.8;1.8;1.8;1.8;1.9;1.9;;;;;;;;;;;;;;;;;;;2.8;;;;3;2.9;2.9;3;3;3;;;;;;;;;;;;;;;;;;;1.6;;;;1.6;1.6;1.6;1.6;1.6;1.6;;;;;;;;;;;;;;;;;;;4.1;;;;3.7;3.6;3.7;3.7;3.8;3.8;;;;;;;;;;;;;;;;;;;7.1;;;;5.9;5.8;6;6.1;6.2;6.1;;61;44.2;15.5;92.5;58.2;52.1;8.7;49;96.4;10.3;6.9;7.7;87;18.3;12.4;25.4;52.2;94.1;96;15;6.5;5.2;7.6;8.9;83;60.9;66.6;30.6;94.9;44.2;15.5
New Zealand;NZL;4.1;5.7;1.6;4.9;4.7;;6.8;6.5;;1.9;1.8;;529;522;521;521;512;509;523;522;519;500;495;530;532;516;513;82978.46;87342.05;92025.54;96503.92;102539.6;106146.5;116196.1;124125.9;127199.9;132088.8;136022;143508.2;145755.4;160849.2;167255.5;172547;21469.2;22395.4;23180.24;23857.58;25003.55;25589.81;27685.51;29309.54;29782.23;30590.29;31176.25;32667.48;32991.25;36064.85;36889.17;37339.75;81.6;5.2;3.9;6.6;16.4;16.2;14.6;13.1;21.1;17.3;17.3;17.3;12.9712;25.57225;15.68461;18.60735;19.84999;17.09271;23.27497;;;;;;;;;;;;;;;;;;;;;;;;;.323;.333;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;4.2;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1;2.1;;;;;;;;;;;;;;;;;;;;;;;;;;;5.2;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;8;8.2;;;61.8;44.8;16.2;96.9;33.1;57;11;59.5;90.2;64.7;22.5;26.8;94.7;15.2;10.1;57.3;68.6;87.1;96.9;18;7.2;5.4;6.5;12;81.5;98.4;98.3;44.5;88.2;44.8;16.2
;OAVG;3.4;4.8;1.3;3.7;3.6;;5.2;5.2;;1.5;1.6;;;;;;496;493;;494;495;494;490;498;501;501;493;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67;44;17;89.2;44.6;52.4;9.2;37.4;95.7;41.5;9.5;12.3;85.9;19.9;22.5;41.5;58;90.2;92.3;19.2;6.7;4.6;7.8;12.8;78.7;77.7;76.4;25.2;91.4;44;17
Poland;POL;3.1;4.4;1.2;3.4;3.4;;4.8;4.8;;1.3;1.4;;479;497;508;500;518;506;490;495;495;518;504;498;508;526;501;407252.3;425603.9;450394.3;468251.2;509752.7;530344.1;577874.4;639715.4;698099.6;735033.7;802284.8;869763.8;907149.2;941145.1;978050;1020401;10645.45;11126.61;11780.56;12259.49;13351.3;13897.54;15154.58;16783.38;18315.13;19265.42;20829.37;22576.02;23541.53;24444.06;25414.46;26534.94;77.7;16.4;;16.4;11;10.4;10.6;10.9;15.3;8.4;15.2;15.3;;;;;;;;;;;;;;;;;;;;;;;;;;.327;.316;.316;.309;.304;.306;.301;.298;.3;;;;;;;;;;;;;;;;;;;;2.2;2.1;2;2.1;2.1;2.1;2;2;2;;;;;;;;;;;;;;;;;;;;4.5;4.2;3.9;4;4;3.9;3.9;3.9;3.9;;;;;;;;;;;;;;;;;;;;2.1;2;2;1.9;1.9;1.9;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;;5.5;5.1;5;4.9;4.8;4.8;4.7;4.7;4.7;;;;;;;;;;;;;;;;;;;;9.2;8.2;8.1;7.7;7.6;7.8;7.5;7.3;7.5;;74.9;41.9;17.1;99.4;66.6;49.9;11.2;36.3;97.8;37.8;11.6;14.9;93.7;10.6;14.4;53.1;63.5;100;100;18.6;5.5;4.6;8;8.5;82.2;67.7;77.5;17.9;92.7;41.9;17.1
Portugal;PRT;3.9;4.8;.9;4.5;4.7;;5.8;6.1;;1.3;1.4;;470;478;472;489;488;498;466;466;487;487;492;474;493;489;501;194194.9;202958.8;212223.7;217958.2;225306.6;238841.5;259580.2;270910.4;281180.7;280018.2;289290.4;282733.9;278160.9;292016.9;299880.9;307818.1;18872.38;19585.52;20367.74;20839.69;21490.72;22739.66;24669.53;25695.76;26631.5;26496.3;27360.98;26780.13;26454.23;27924.69;28831.65;29717.62;81.2;17.3;;17.3;14;10.1;9.5;8.9;;;14.4;14.4;;;;;;;;;;;;;;;;;;;;;;;;;.384;.379;.371;.361;.355;.337;.342;.338;.338;.342;;;;;;;;;;;;;;;;;;;2.2;2.1;2.2;2.2;2.1;2.1;2;2.1;2.2;2.3;;;;;;;;;;;;;;;;;;;5.4;5.2;5.4;4.9;4.7;4.6;4.5;4.5;4.7;4.9;;;;;;;;;;;;;;;;;;;2.5;2.4;2.5;2.3;2.3;2.2;2.2;2.1;2.1;2.1;;;;;;;;;;;;;;;;;;;7.1;6.9;6.6;6.3;6;5.6;5.6;5.7;5.9;6.1;;;;;;;;;;;;;;;;;;;12.4;12.1;11;10.4;10.1;9.1;9.1;9.5;10.1;10.7;;73.2;44.7;19.4;82.1;39.4;52.1;6.6;30.4;98.1;35.5;4.3;7.6;88.5;9.2;26.5;38.5;48.9;97.6;96.2;20.8;8.5;9.6;8.2;15.7;75.8;99;97.5;10.5;94.1;44.7;19.4
Russia;RUS;;;;2.3;2.3;;3.7;3.8;;1.4;1.4;;462;442;440;459;475;495;468;476;468;482;494;478;486;487;;1066174;1145988;1244453;1427742;1572272;1809837;2275994;2535993;3070068;2952650;3123316;3441692;3625385;3467892;3666104;3579827;7272.825;7850.495;8564.334;9870.417;10913.46;12610.45;15910.52;17758.42;21507.75;20678.95;21864.38;24074.36;25352.34;24200.22;25512.21;24469.08;70.9;9.6;;;20.2;8.8;8.8;;22.9;10.7;10.9;11;30.6228;41.41747;48.75879;32.31424;37.21206;29.04965;26.68992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;45.5;20.3;93.5;77.8;50.3;12.5;63.1;94.1;55.8;10.6;18.1;93.1;18.1;9;77.9;76;71.7;97;23.6;9.5;5.3;6.8;6.3;86.9;97.1;96.6;44.1;90.3;45.5;20.3
Slovak Republic;SVK;2.6;3.6;1;2.7;2.7;;3.7;3.8;;1;1.1;;;469;466;477;463;453;498;492;497;482;475;488;490;471;461;61150.76;66696.66;71483.34;75973.59;81652.84;89275.35;101419.2;113709.9;127442.8;124333.3;134842.6;139467.3;144098.1;151157.2;157388.8;162341.2;11322.74;12398.24;13290.17;14123.24;15170.44;16572.06;18812.96;21070.78;23574.93;22949.22;24833.01;25836.34;26654.01;27924.84;29046.24;29939.31;76.9;12.6;;12.6;17.2;12.5;12.9;13.5;13.3;9;13.7;13.8;;;;;;;;;;;;;;;;;;;;;;;;;.265;.289;.253;.247;.257;.264;.263;.262;.25;.269;;;;;;;;;;;;;;;;;;;1.9;1.8;1.8;1.8;1.8;1.8;1.9;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;3.2;3.1;3;3;3.1;3.2;3.2;3.3;3.2;3.3;;;;;;;;;;;;;;;;;;;1.7;1.7;1.7;1.7;1.8;1.8;1.7;1.7;1.7;1.8;;;;;;;;;;;;;;;;;;;3.9;4.2;3.6;3.6;3.7;3.9;3.9;3.9;3.7;4.1;;;;;;;;;;;;;;;;;;;6;6.9;5.4;5.2;5.7;6.2;6.1;5.9;5.7;6.6;;81.9;43.4;17.7;89.4;60;52.5;11;1.5;95.2;60.5;4.2;8.9;73.3;18.6;18.8;47.4;68.7;100;100;19.9;7.5;3.5;7.1;12.1;80.2;88.5;90.2;4;89;43.4;17.7
Slovenia;SVN;3.4;4.5;1.1;3.7;3.7;;4.9;4.8;;1.2;1.2;;;;494;483;481;505;;504;501;501;510;519;512;514;513;35873.21;37846.73;40498.98;42174.58;45517.77;47901.86;51733.05;55689.67;59879.81;56099.22;56936.25;59131.5;59332.39;60889.45;63967.08;66013.34;18032.18;18999.84;20299.93;21126.59;22790;23941.23;25765.4;27584.71;29614.59;27477.26;27789.78;28804.73;28847.36;29564.45;31024.87;31994.06;81.2;8.1;6.1;9.3;15.9;8.3;10.9;13.7;;22.5;17.1;16.4;23.34467;29.08641;22.1396;33.06787;25.05467;25.43972;28.5823;;;;;;;;;;;;;;;;;;.241;.24;.238;.24;.235;.246;.246;.245;.25;.255;;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;1.8;1.8;1.9;1.9;1.9;2;2;;;;;;;;;;;;;;;;;;;3;3;3;3.1;3;3.2;3.2;3.2;3.3;3.3;;;;;;;;;;;;;;;;;;;1.7;1.7;1.7;1.7;1.6;1.7;1.7;1.7;1.7;1.7;;;;;;;;;;;;;;;;;;;3.5;3.5;3.4;3.5;3.4;3.6;3.6;3.6;3.7;3.8;;;;;;;;;;;;;;;;;;;5.2;5.1;5;5.2;5;5.3;5.3;5.3;5.5;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sweden;SWE;3.9;5.9;2;3.7;3.7;;5.4;5.4;;1.7;1.7;;516;514;507;497;483;500;509;502;494;478;494;503;495;485;493;259580;264227.8;272994.5;281923.5;301748.3;306709.2;339972.6;371081.7;385875.9;369089;390766.2;413450.9;425753.8;438876.1;450343.3;469008.3;29258.01;29701.86;30587.62;31471;33551.82;33967.08;37439.86;40563.8;41853.86;39693.39;41667.95;43755.12;44724.85;45714.36;46445.82;47861.9;82.3;5.5;4.8;5.8;12.7;12.2;13.1;13.8;10.8;10;10.7;10.7;21.43503;19.11678;23.97518;20.87878;17.14791;19.65089;16.97468;;;;;;;;;;;;;;;;;;;;;;;;;.273;.274;.281;;;;;;;;;;;;;;;;;;;;;;;;;;2;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;3.3;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;1.7;1.7;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;4.1;4.1;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;6.3;6.3;6.5;;66.5;46;16.4;89.9;54.9;50.7;7;9.5;90.8;10.7;3.7;5.5;83.4;25.5;19.8;23.6;47.5;96.4;96.3;17.6;6.7;4.7;6.7;11.5;81.1;76.6;75.1;5;85.4;46;16.4
Turkey;TUR;3;4.6;1.6;3;3.3;;4.4;5;;1.4;1.7;;;441;447;464;475;428;423;424;445;448;420;424;454;463;425;605613.6;592898.1;607794.2;634676.9;728257;807226.8;937107.8;1032838;1130487;1105889;1262797;1443296;1539111;1692384;1781863;1884278;9425.6;9102.884;9207.887;9490.779;10753.47;11772.99;13503.97;14709.65;15901.08;15348.91;17297.87;19517.18;20549.29;22334.57;23256.12;24328.64;78;;;16.7;19.3;18.4;16.6;14.8;;48.4;20.3;16.6;22.66187;20.39768;20.84871;;19.82291;21.4091;19.52994;;;;;;;;;;;;;;;;;;;;;;;;;.407;.402;.393;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.4;2.4;;;;;;;;;;;;;;;;;;;;;;;;;;6.2;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.5;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;8.1;7.8;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;14.6;14;13.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United States;USA;3.3;4.6;1.3;;3.5;;;6.2;;2.7;2.6;;504;495;;500;498;497;483;474;487;481;470;489;502;497;496;1.03e+07;1.06e+07;1.10e+07;1.15e+07;1.23e+07;1.31e+07;1.39e+07;1.45e+07;1.47e+07;1.44e+07;1.50e+07;1.55e+07;1.62e+07;1.67e+07;1.74e+07;1.80e+07;36419.45;37240.16;38122.32;39606.47;41856.52;44236.61;46368.99;47987.49;48330.06;46929.89;48302.24;49710.02;51369.69;52688.54;54484.04;56065.97;78.8;;;12.2;15.4;15.5;15.5;15.5;;;14.6;;16.30015;16.63547;14.08105;15.80245;16.24067;17.24118;18.65272;;;;;;;;;;;;;;;;;;;;;;;;;;;.396;.394;;;;;;;;;;;;;;;;;;;;;;;;;;;2.7;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;6.4;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;2.3;2.3;;;;;;;;;;;;;;;;;;;;;;;;;;;8.6;8.7;;;;;;;;;;;;;;;;;;;;;;;;;;;18.5;18.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
